Number_old,Number,Topic,SpeechAct,Flavor,Audio_Intro,Audio_Continuation,Audio_AnswerM,Audio_AnswerF,Intro,SAPrompt_part1,SAPrompt_part2,Target,QPara,APara,RPara,Answer,Answer_01,Comp_Q,Comp_Ans0,Comp_Ans1
2_3,1_3,cake,assertion,deontic,cake_intro.mp3,cake_conti_A.mp3,cake_answer_A_male.mp3,cake_answer_A_female.mp3,Vous êtes avec Jordan chez un ami qui a préparé une tarte aux poireaux.,"Vous voulez faire savoir à Jordan qu'il a le capacité/autorisation/droit de goûter une part, car vous savez que ça ne dérangera pas votre ami",Tu peux prendre de la tarte.,Tu es sûr(e) ? Je veux pas que ça dérange Nico.,Est-ce que tu as la capacité/autorisation/droit de prendre de la tarte ?,Je t'informe que tu as le capacité/autorisation/droit de prendre de la tarte.,"Prends de la tarte, s'il te plaît !",Q,De quoi Jordan a-t-il peur ?,mal découper la tarte,déranger votre ami Nico,
13_3,2_3,car,assertion,deontic,car_intro.mp3,car_conti_A.mp3,car_answer_A_male.mp3,car_answer_A_female.mp3,Vous arrivez à votre voiture avec votre ami Jordan.,"Vous voulez faire savoir à Jordan qu'il a le capacité/autorisation/droit de conduire votre voiture, parce que votre assurance le permet",Tu peux conduire.,"Ah bon, tu es sûr(e) que c'est ok pour l'assurance ?",Est-ce que tu as la capacité/autorisation/droit de conduire ?,Je t'informe que tu as le capacité/autorisation/droit de conduire.,"Conduis, s'il te plaît !",Q,Jordan a-t-il le capacité/autorisation/droit de conduire votre voiture ?,non,oui,
9_3,3_3,cleanplate,assertion,deontic,cleanplate_intro.mp3,cleanplate_conti_A.mp3,cleanplate_answer_A_male.mp3,cleanplate_answer_A_female.mp3,"Vous êtes chez vous avec Jordan, votre colocataire.","Vous voulez faire savoir à Jordan qu'il a le capacité/autorisation/droit de laver son assiette, même si vous êtes en réunion Zoom",Tu peux laver ton assiette.,"D'accord, tu es sûr(e) que le bruit te dérangera pas ?",Est-ce que tu as la capacité/autorisation/droit de laver ton assiette ?,Je t'informe que tu as le capacité/autorisation/droit de laver ton assiette.,"Lave ton assiette, s'il te plaît !",Q,Pourquoi Jordan a-t-il peur de vous déranger ?,parce que vous êtes avec un ami,parce que vous êtes en réunion Zoom,
8_3,4_3,dog,assertion,deontic,dog_intro.mp3,dog_conti_A.mp3,dog_answer_A_male.mp3,dog_answer_A_female.mp3,Vous avez prévu d'aller au musée avec votre ami Jordan.,"Vous voulez faire savoir à Jordan qu’il a le capacité/autorisation/droit d'emmener son chien, parce que vous êtes sûr(e) que ce musée les autorise",Tu peux emmener ton chien.,Tu es sûr(e) ? Je pensais que c'était interdit.,Est-ce que tu as la capacité/autorisation/droit d'emmener ton chien ?,Je t'informe que tu as le capacité/autorisation/droit d'emmener ton chien.,"Emmène ton chine, s'il te plaît !",Q,Que Jordan pensait-il avoir vu ?,que les chiens étaient autorisés,que les chiens étaient interdits,
7_3,5_3,email,assertion,deontic,email_intro.mp3,email_conti_A.mp3,email_answer_A_male.mp3,email_answer_A_female.mp3,Vous aidez votre frère Jordan à faire un devoir-maison.,"Vous voulez faire savoir à Jordan qu’il a la possibilité d’envoyer un mail à son prof, parce qu'il n'a pas l'air d'y avoir pensé",Tu peux envoyer un mail à ton prof.,"Ah bon, tu penses que c'est autorisé ?",Est-ce que tu as la capacité/autorisation/droit d'envoyer un mail à ton prof ?,Je t'informe que tu as le capacité/autorisation/droit d'envoyer un mail à ton prof.,"Envoie un mail à ton prof, s'il te plaît !",Q,Pourquoi hésitez-vous à envoyer un mail ?,par peur que le professeur ne le reçoive pas,par peur que ce soit interdit,
1_3,6_3,guitar,assertion,deontic,guitar_intro.mp3,guitar_conti_A.mp3,guitar_answer_A_male.mp3,guitar_answer_A_female.mp3,"Vous êtes chez vous avec votre ami Jordan, qui a une guitare.","Vous voulez faire savoir à Jordan qu'il a le capacité/autorisation/droit de jouer de la guitare, parce que ça ne dérange pas les voisins",Tu peux jouer de la guitare.,Tu es sûr(e) ? Il est un peu tard quand même.,Est-ce que tu as la capacité/autorisation/droit de jouer de la guitare ?,Je t'informe que tu as le capacité/autorisation/droit de jouer de la guitare.,"Joue de la guitare, s'il te plaît !",Q,Est-il trop tard pour jouer de la guitare ?,"oui, ça risque de déranger les voisins","non, ça ne dérange pas les voisins",
15_3,7_3,light,assertion,deontic,light_intro.mp3,light_conti_A.mp3,light_answer_A_male.mp3,light_answer_A_female.mp3,Vous êtes chez vous avec votre ami Jordan.,"Vous voulez faire savoir à Jordan qu'il a le capacité/autorisation/droit d'allumer la lumière,car vous avez fini votre sieste",Tu peux allumer la lumière.,"Super, je n'y voyais rien pour travailler.",Est-ce que tu as la capacité/autorisation/droit d'allumer la lumière ?,Je t'informe que tu as le capacité/autorisation/droit d'allumer la lumière.,"Allume la lumière, s'il te plaît !",Q,Pourquoi Jordan peut-il maintenant allumer la lumière ?,parce qu'il fait nuit,parce que vous avez fini votre sieste,
3_3,8_3,readsentence,assertion,deontic,readsentence_intro.mp3,readsentence_conti_A.mp3,readsentence_answer_A_male.mp3,readsentence_answer_A_female.mp3,"Vous êtes en cours avec Jordan, et il y a une phrase écrite au tableau.","Vous voulez faire savoir à Jordan qu'il est capable de lire la phrase écrite en japonais, car c'est une phrase simple",Tu peux lire la phrase.,Vraiment ? Tu es sûr(e) que je vais y arriver ?,Est-ce que tu as la capacité/autorisation/droit de lire la phrase ?,Je t'informe que tu as le capacité/autorisation/droit de lire la phrase.,"Lis la phrase, s'il te plaît !",Q,La phrase écrite au tableau est-elle simple ?,non,oui,
4_3,9_3,speaklouder,assertion,deontic,speaklouder_intro.mp3,speaklouder_conti_A.mp3,speaklouder_answer_A_male.mp3,speaklouder_answer_A_female.mp3,"Vous êtes avec Jordan dans un café, et il y a du monde à côté.","Vous voulez faire savoir à Jordan qu'il est autorisé à parler plus fort, parce que ça ne dérangera personne",Tu peux parler plus fort.,Tu es sûr(e) ? Je pense qu'on dérange les gens à côté. ,Est-ce que tu as la capacité/autorisation/droit de parler plus fort ?,Je t'informe que tu as le capacité/autorisation/droit de parler plus fort.,"Parle plus fort, s'il te plaît !",Q,Jordan risque-t-il vraiment de déranger les gens à côté ?,oui,non,
12_3,10_3,train,assertion,deontic,train_intro.mp3,train_conti_A.mp3,train_answer_A_male.mp3,train_answer_A_female.mp3,Vous organisez un voyage avec votre ami Jordan.,"Vous voulez faire savoir à Jordan qu'il a le capacité/autorisation/droit de commander les billets de train,parce que vous avez eu la confirmation que vous serez disponible",Tu peux commander les billets.,"Super, tu es bien sûr(e) que les dates te conviennent ? ",Est-ce que tu as la capacité/autorisation/droit de commander les billets ?,Je t'informe que tu as le capacité/autorisation/droit de commander les billets,"Commande les billets, s'il te plaît !",Q,Jordan a-t-il le capacité/autorisation/droit de commander les billets ?,non,oui,
10_3,11_3,trunk,assertion,deontic,trunk_intro.mp3,trunk_conti_A.mp3,trunk_answer_A_male.mp3,trunk_answer_A_female.mp3,Vous êtes avec Jordan devant un coffre de voiture fermé.,"Vous voulez faire savoir à Jordan qu'il est autorisé à ouvrir le coffre,même si il est plein à craquer",Tu peux ouvrir le coffre.,Vraiment ? J'ai peur de tout faire tomber. ,Est-ce que tu as la capacité/autorisation/droit d'ouvrir le coffre ?,Je t'informe que tu as le capacité/autorisation/droit d'ouvrir le coffre.,"Ouvre le coffre, s'il te plaît !",Q,Est-il interdit d'ouvrir le coffre ?,oui,non,
5_3,12_3,washhands,assertion,deontic,washhands_intro.mp3,washhands_conti_A.mp3,washhands_answer_A_male.mp3,washhands_answer_A_female.mp3,Votre ami Jordan arrive chez vous.,"Vous voulez faire savoir à Jordan qu’il a le capacité/autorisation/droit de se laver les mains,parce que vous voyez qu’il n'ose pas le faire",Tu peux te laver les mains.,C'est vrai ? Merci beaucoup !,Est-ce que tu as la capacité/autorisation/droit de laver les mains ?,Je t'informe que tu as le capacité/autorisation/droit de laver les mains.,"Lave-toi les mains, s'il te plaît !",Q,Pourquoi proposez-vous à Jordan de se laver les mains ?,parce qu'il va faire à manger,parce qu'il n'ose pas le faire,